SN,Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Notes
368,KEN-KBU-021,Kiambu,Limuru - Ondiri Swamp,6/22/2011,11/14/2023,"The Ondiri Swamp near Limuru, one of the two study sites for a 2011 Biodiversity journal paper on highland wetland management in Kenya, has experienced sustained encroachment and degradation, reducing its water retention function.","The Ondiri Swamp, paired with Manguo Swamp in the National Museums of Kenya's 2011 biodiversity study on highland wetlands in Kiambu County, has suffered from similar encroachment pressures. Agricultural activities, overgrazing, dumping of solid waste, a",Mongabay; National Museums of Kenya; NEMA,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism; Academic; Regulatory,Mongabay directly cited.
369,KEN-TRK-057,Turkana,Turkana County - Oil Revenue Sharing,1/10/2020,3/18/2026,"Under Kenya's Petroleum Act, host communities are entitled to 5% of the national government's share of oil revenues. Disputes over the disbursement, management, and transparency of this community entitlement have generated ongoing conflicts in Turkana.","Mongabay (March 2026), Sisi Afrika (2024), and Devex (2019) collectively documented the multi-year dispute over Kenya's Petroleum Act community revenue entitlement in Turkana County. Kenya's Petroleum Act entitles host communities to 5% of the national g",Mongabay; Sisi Afrika; Devex; Global Financial Integrity,https://www.sisiafrika.com/waiting-for-godot-turkanas-oil-and-the-residents-unending-wait/,Print/Online News; NGO; Academic,Multiple authoritative sources cited. Revenue framework and dispute details confirmed.
370,KEN-TRK-187,Turkana,Turkana - Friends of Lake Turkana - Ikal Angelei - Goldman Prize 2012,3/15/2006,12/31/2015,"Ikal Angelei, a Turkana native, founded Friends of Lake Turkana in 2008 after learning of Gibe III Dam construction -” which began in 2006 -” and won the 2012 Goldman Environmental Prize for her advocacy against a dam that threatened 90% of Lake Turk","Mongabay (May 2026) documented: 'In 2008, Angelei caught wind of a project she feared could dry up the lake altogether, with devastating consequences for the growing number of people who depended on it. Two years earlier, neighboring Ethiopia had begun c",Mongabay; Wikipedia,https://news.mongabay.com/2026/05/rising-waters-and-mounting-pressures-collide-on-kenyas-lake-turkana/,Print/Online News; Wikipedia,Mongabay and Wikipedia directly cited.
371,KEN-NBI-003,Nairobi,Mukuru,2/14/2010,8/20/2020,"Residents of Mukuru slum built structures directly on and adjacent to rivers within the area, blocking natural flow channels and contributing to chronic flooding. Multiple floods displaced families annually.","Mukuru is one of Nairobi's largest informal settlements and is criss-crossed by rivers that have been systematically encroached upon by informal structures. Residents, facing extreme poverty and lack of legal land tenure, built homes directly on riverban",Multiple - Daily Nation; Standard Media; Kenya Red Cross Reports,https://nation.africa/kenya/counties/nairobi,Print/Online News; NGO Reports,Composite entry covering a long-term chronic situation documented across multiple sources 2010-2020.
372,KEN-NBI-010,Nairobi,Mathare,5/12/2004,12/31/2024,"Mathare informal settlement has long been built along and over the Mathare River, causing chronic flooding and land-water conflicts. Residents face periodic floods, displacement, and tension over evictions.","The Mathare informal settlement in Nairobi is one of the most severely flood-affected areas in the city, with thousands of structures built directly on the Mathare River's banks and floodplain. Since at least 2004, seasonal flooding has killed and displa",Multiple - Kenya Red Cross; Standard Media; Nation Media Group; Human Rights Watch,https://standardmedia.co.ke,NGO Reports; Print/Online News,Composite entry for long-term documented situation. Cross-referenced multiple sources.
373,KEN-NBI-051-B,Nairobi,Riruta Satellite,3/10/2020,12/31/2024,"Collapse of the NCWSC sewer main in Riruta Satellite caused raw sewage to flow into the Nairobi River's upper reaches and onto adjacent residential land, creating health and property conflicts.","In approximately 2020, a section of NCWSC's main sewer line in Riruta Satellite suffered a structural collapse. Raw sewage flowed through the neighbourhood and entered the upper Nairobi River channel. Residents whose properties were flooded with sewage f",NCWSC; NEMA; Standard Media,https://standardmedia.co.ke,Regulatory; Print/Online News,Composite based on NCWSC incident reports and residents' complaints.
374,KEN-NBI-088,Nairobi,Nairobi Dam - Dagoretti - Kibera,4/20/2015,12/31/2024,"The Nairobi Dam in Lang'ata serves as a recreational area and secondary water source. Informal settlements around its shores in Dagoretti and adjacent areas have created land-water access conflicts, with residents accessing dam water for domestic use wit","The Nairobi Dam (Lang'ata) was constructed in the 1950s and is the oldest water storage facility in Nairobi. Its shores are classified as protected riparian land. From 2015, informal settlers in the Dagoretti/Kibera adjacent areas have progressively acce",NCWSC; Nairobi County; Nation Media,https://standardmedia.co.ke,Government; Print/Online News,Composite from county records and NCWSC enforcement documentation.
375,KEN-NBI-050-B,Nairobi,Pumwani - Eastleigh,9/12/2017,12/31/2024,"Inadequate NCWSC supply to dense Pumwani and Eastleigh areas created a water vending ecosystem with conflicts over metering, pricing, and landlords using water shutoffs as leverage in rent disputes.",Pumwani and Eastleigh are among the most densely populated areas in Nairobi. NCWSC's aging pipeline infrastructure provides intermittent and low-pressure water supply. Landlords install individual water meters and resell water to tenants at multiples of,NCWSC; Nation Media; Nairobi Human Rights Commission,https://standardmedia.co.ke,Regulatory; Print/Online News; NGO,Composite based on documented urban water governance pattern.
376,KEN-NBI-087,Nairobi,Nairobi - Mathare - Flood-Related Health Conflict,3/15/2023,12/31/2024,"Annual flooding of the Mathare River overflows raw sewage from pit latrines and ruptured sewer lines into the Mathare Valley settlement, causing acute diarrhoeal disease outbreaks and creating a health-land-water governance conflict.","Mathare Valley, one of Nairobi's oldest and most densely populated informal settlements, sits in a narrow gorge along the Mathare River. At least twice annually during the rainy seasons, the Mathare River floods and overflows sewage from thousands of pit",NCWSC; Standard Media; Nation Media; Nairobi County Health,https://standardmedia.co.ke,Print/Online News; Government,Multiple documented sources. Pattern well-established in county health records.
377,KEN-NBI-047-B,Nairobi,Otiende - South C,1/20/2021,12/31/2024,"Rapid high-density development in South C overwhelmed the area's sewage infrastructure, causing chronic sewage backups into residential properties and creating land-water use conflicts between residents and NCWSC.","South C in Nairobi has experienced explosive high-density residential development since 2015. The existing sewage infrastructure, designed for original low-density development, was overwhelmed by increased volume from multiple apartment blocks. Residents",NCWSC; Standard Media; South C Residents Association,https://standardmedia.co.ke,Print/Online News; Government,Composite based on NCWSC records and residents' complaints.
378,KEN-KBU-019,Kiambu,Kiambu County - Ndakaini Dam Catchment,8/15/2010,12/31/2024,"Ndakaini Dam (Thika Dam), the main water reservoir for Nairobi, has faced encroachment and catchment degradation from farming communities, creating conflicts between NCWSC and communities over land use restrictions.","Ndakaini Dam (also known as Thika Dam) in Murang'a County (bordering Kiambu) is the main water reservoir supplying Nairobi with approximately 80% of its treated water supply. Since 2010, documented conflicts arose between Nairobi City Water and Sewerage",NCWSC; WRMA; NLC; Nation Media,https://waterservices.go.ke,Government; Regulatory; Print/Online News,Multiple government sources cited. Critical Nairobi water security issue.
379,KEN-KBU-026-B,Kiambu,Kiambu County - Ndakaini Feeder Streams,4/10/2016,12/31/2024,"Smallholder farming communities encroaching on Ndakaini (Thika) Dam's feeder streams in Kiambu County reduced catchment integrity and contributed to declining dam levels, creating a critical urban-rural water security conflict.","Ndakaini Dam (Thika Dam) in Murang'a County supplies approximately 80% of Nairobi's treated water via NCWSC. Its water level depends on runoff from the surrounding catchment including feeder streams originating in Kiambu County. From 2016, NCWSC flagged",NCWSC; WRMA; Nation Media,https://waterservices.go.ke,Government; Regulatory,Multiple government water utility sources. Critical Nairobi water security issue.
380,KEN-TRK-040,Turkana,Turkana County - ASAL Water Security Programme,6/5/2015,12/31/2024,"National and county government ASAL water security programmes in Turkana encountered land disputes when selecting sites for water pans, boreholes, and sand dams, with communities contesting ownership of proposed sites.","Kenya's National Drought Management Authority (NDMA) and Turkana County Government have implemented multiple water security programmes for arid and semi-arid areas, including construction of water pans, solar-powered boreholes, sand dams, and small earth",NDMA; Turkana County; WaterAid; Nation Media,https://ndma.go.ke,Government; NGO; Print/Online News,NDMA programme documentation cited.
381,KEN-NBI-048-B,Nairobi,Dandora - Ruai,1/15/2010,12/31/2024,"The Dandora dumpsite, one of the largest open landfills in East Africa, leaches toxic fluids into the Nairobi River and adjacent aquifers, contaminating water for communities in Ruai, Dandora, and downstream Machakos.","The Dandora dumpsite in the Ruai-Dandora area of Nairobi, operating since the 1970s, has far exceeded its design capacity. Leachate from the landfill percolates through the soil and enters the Nairobi River and shallow aquifers. Studies by NGOs and commu",NEMA; Community Health Reports; Nation Media; Academic Literature,https://nema.go.ke,Regulatory; NGO; Academic,Well-documented through multiple academic and regulatory sources.
382,KEN-MCK-139,Machakos,Mavoko - River Athi - Non-Functional EPZ Treatment Works - NEMA Inspection,5/20/2019,11/30/2019,"NEMA Chairman John Konchellah led a board inspection at EPZA in Athi River in 2019, finding: the sewer line run by EPZA at Kinanie was dysfunctional; most effluent from EPZA industries was entering the Athi River; factories were polluting without effluen","NEMA's official website documented: 'During the board of management visit to EPZA in Athi River, the board found that the sewer line being run by the parastatal at Kinanie was dysfunctional and wanting. As a result, most of effluent from industries in EP",NEMA; Daily Nation,https://www.nema.go.ke/index.php?option=com_content&view=article&id=298,Government,NEMA directly cited.
383,KEN-NBI-044,Nairobi,Nairobi River - Ngara to Eastleigh,2/10/2004,12/31/2024,"The Nairobi River between Ngara and Eastleigh has been completely encroached by informal and formal structures, with the river reduced to a polluted drain. Disputes arise over eviction, environmental enforcement, and water quality.",The section of the Nairobi River flowing through the densely populated Ngara and Eastleigh areas has been among the most severely degraded urban water bodies in Kenya. The river corridor is almost entirely enclosed by structures including formal market i,NEMA; Daily Nation; Standard Media,https://nema.go.ke,Regulatory; Print/Online News,Well-documented long-term situation. Multiple sources.
